species	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
s_Brevundimonas sp016183935	0	0	0	0	0	0	0	0	0	0	2	133	0	0	7	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas sp016183935
s_Unclassified_g_DSM-111022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Aerococcaceae;g_DSM-111022;s_Unclassified_g_DSM-111022
s_Unclassified_f_Vagococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Vagococcaceae;g_Unclassified_f_Vagococcaceae;s_Unclassified_f_Vagococcaceae
s_Paenibacillus forsythiae	3	0	0	0	0	0	0	1	0	0	0	0	0	0	137	d_Bacteria;p_Firmicutes;c_Bacilli;o_Paenibacillales;f_Paenibacillaceae;g_Paenibacillus;s_Paenibacillus forsythiae
s_Brevilactibacter sp016711325	1	0	0	0	0	0	0	0	0	0	0	1	0	0	139	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Brevilactibacter;s_Brevilactibacter sp016711325
s_Brachybacterium massiliense	75	0	0	0	0	0	0	12	2	17	0	7	4	0	24	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermabacteraceae;g_Brachybacterium;s_Brachybacterium massiliense
s_Clostridium sp001916075	1	0	0	0	0	0	0	0	0	0	0	0	0	0	140	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp001916075
s_Thermomonas sp014678725	0	0	0	0	0	0	0	0	0	0	0	5	0	0	136	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Thermomonas;s_Thermomonas sp014678725
s_Actinomyces haliotis	6	0	0	0	2	0	0	1	8	3	1	13	1	0	105	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces;s_Actinomyces haliotis
s_Mesorhizobium erdmanii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Mesorhizobium;s_Mesorhizobium erdmanii
s_Unclassified_g_Marinilactibacillus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	139	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Carnobacteriaceae;g_Marinilactibacillus;s_Unclassified_g_Marinilactibacillus
s_Psychrilyobacter sp003391055	0	0	0	0	0	0	0	107	1	0	14	4	11	2	1	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Psychrilyobacter;s_Psychrilyobacter sp003391055
s_Unclassified_g_Clostridioides A	1	0	0	0	0	0	0	41	0	0	5	0	5	0	88	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Clostridioides A;s_Unclassified_g_Clostridioides A
s_Clostridium AA polynesiense	5	0	0	0	0	0	0	25	0	0	9	0	13	1	87	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium AA;s_Clostridium AA polynesiense
s_JAGOME01 sp017993715	96	1	0	0	1	0	0	4	0	0	1	1	2	0	34	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_JAGOME01;s_JAGOME01 sp017993715
s_Paenirhodobacter hankyongi	0	0	0	0	0	0	0	0	0	7	0	99	2	0	32	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Paenirhodobacter;s_Paenirhodobacter hankyongi
s_Microlunatus C panaciterrae	1	0	0	0	0	0	0	0	0	0	0	5	0	0	134	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Propionibacteriales;f_Propionibacteriaceae;g_Microlunatus C;s_Microlunatus C panaciterrae
s_Nocardia carnea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Nocardia;s_Nocardia carnea
s_Clostridium tertium	1	0	2	0	0	0	4	10	0	0	94	6	10	1	12	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium tertium
s_Comamonas odontotermitis	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Comamonas;s_Comamonas odontotermitis
s_Neoactinobaculum massilliense	6	0	0	0	0	0	0	0	0	0	0	3	4	1	125	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Neoactinobaculum;s_Neoactinobaculum massilliense
s_Unclassified_g_Helicobacter E	8	0	1	0	89	0	4	5	0	0	0	4	0	17	11	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter E;s_Unclassified_g_Helicobacter E
s_Pseudomonas E helleri A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas E;s_Pseudomonas E helleri A
s_Gordonia soli	6	1	0	0	1	1	1	1	7	31	3	3	23	0	61	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Gordonia;s_Gordonia soli
s_Ensifer adhaerens A	0	1	0	0	0	0	0	0	0	0	0	16	0	0	122	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Ensifer;s_Ensifer adhaerens A
s_JG1575 sp012511315	0	0	0	0	0	1	0	0	0	0	0	3	6	0	129	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_JG1575;s_JG1575 sp012511315
s_Unclassified_g_Gulosibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Gulosibacter;s_Unclassified_g_Gulosibacter
s_Pusillimonas caeni	0	0	0	0	0	0	0	0	0	2	0	0	0	0	137	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Pusillimonas;s_Pusillimonas caeni
s_Amaricoccus sp017993425	7	0	0	0	0	0	0	0	0	0	0	122	1	0	9	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Amaricoccus;s_Amaricoccus sp017993425
s_Rothia massiliensis	13	1	0	0	0	0	0	4	11	51	0	23	1	1	33	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Rothia;s_Rothia massiliensis
s_Pseudoxanthomonas jiangsuensis	0	0	0	0	0	0	0	0	0	0	0	9	0	0	129	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Pseudoxanthomonas;s_Pseudoxanthomonas jiangsuensis
s_Jejubacter calystegiae	0	0	0	0	0	0	0	0	1	0	129	1	7	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Jejubacter;s_Jejubacter calystegiae
s_Sphingomonas taxi A	1	0	0	0	0	0	0	0	0	0	0	127	1	0	9	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingomonas;s_Sphingomonas taxi A
s_RCIZ01 sp003666685	0	0	0	0	0	0	0	0	0	0	0	128	0	0	10	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_RCIZ01;s_RCIZ01 sp003666685
s_Unclassified_g_Primorskyibacter	3	0	0	0	0	0	0	0	0	1	0	31	0	0	102	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Primorskyibacter;s_Unclassified_g_Primorskyibacter
s_Clostridium F botulinum A	1	0	0	0	0	0	0	49	0	0	44	18	18	0	7	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium F;s_Clostridium F botulinum A
s_Arthrobacter D sp015751715	98	2	0	0	0	0	0	5	0	2	0	0	3	0	27	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Arthrobacter D;s_Arthrobacter D sp015751715
s_Rhizobium loessense	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Rhizobium;s_Rhizobium loessense
s_Rhodococcus coprophilus	3	0	0	0	0	0	0	0	0	0	0	1	1	0	132	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Rhodococcus;s_Rhodococcus coprophilus
s_Shimwellia pseudoproteus	0	0	0	0	0	0	0	1	0	0	130	2	4	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Shimwellia;s_Shimwellia pseudoproteus
s_Faecousia sp004562395	0	0	0	0	1	0	0	0	0	1	110	4	21	0	0	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_Faecousia;s_Faecousia sp004562395
s_Acidovorax sp001422735	0	0	0	0	0	0	0	0	0	0	0	133	0	0	4	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Acidovorax;s_Acidovorax sp001422735
s_Xylophilus sp016428875	0	0	0	0	0	0	0	0	0	0	0	136	0	0	1	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Xylophilus;s_Xylophilus sp016428875
s_Serpentinomonas raichei	3	0	0	0	0	0	0	0	0	0	0	122	0	0	12	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Serpentinomonas;s_Serpentinomonas raichei
s_UBA6669 sp015075305	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales;f_Opitutaceae;g_UBA6669;s_UBA6669 sp015075305
s_Clostridium cagae	7	0	2	0	0	0	0	13	0	0	4	0	2	0	108	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium cagae
s_Fusobacterium A ulcerans	0	0	0	0	0	0	0	75	0	0	48	3	9	0	1	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Fusobacteriaceae;g_Fusobacterium A;s_Fusobacterium A ulcerans
s_Pseudomonas E guineae	0	0	0	0	0	0	0	0	0	0	0	1	0	0	135	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas E;s_Pseudomonas E guineae
s_Bosea lathyri	0	0	0	0	0	0	0	0	0	0	0	57	1	0	78	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Beijerinckiaceae;g_Bosea;s_Bosea lathyri
s_Devosia chinhatensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Devosiaceae;g_Devosia;s_Devosia chinhatensis
s_Sphingorhabdus B sp003367235	4	0	0	0	0	0	0	0	0	0	1	131	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Sphingorhabdus B;s_Sphingorhabdus B sp003367235
s_Roseovarius sediminicola	5	0	0	0	0	0	0	1	1	9	0	108	1	0	11	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Roseovarius;s_Roseovarius sediminicola
s_CSBR16-193 sp007117035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	d_Bacteria;p_Patescibacteria;c_Paceibacteria;o_UBA9983 A;f_CSBR16-193;g_CSBR16-193;s_CSBR16-193 sp007117035
s_Pauljensenia radingae A	2	0	0	0	0	0	0	0	1	0	0	3	2	0	127	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Pauljensenia;s_Pauljensenia radingae A
s_Rhodococcus sp001767395	3	0	0	0	0	0	0	0	0	0	0	1	0	0	131	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Rhodococcus;s_Rhodococcus sp001767395
s_BS524 sp018725275	1	0	22	18	4	23	12	0	50	0	0	0	0	5	0	d_Bacteria;p_Firmicutes H;c_UBA994;o_UBA994;f_UBA994;g_BS524;s_BS524 sp018725275
s_Ochrobactrum B sp900465685	0	0	0	0	0	0	0	0	0	0	0	1	0	0	134	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Ochrobactrum B;s_Ochrobactrum B sp900465685
s_Actinomyces qiguomingii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Actinomyces;s_Actinomyces qiguomingii
s_Helicobacter F sp002287135	1	0	1	1	85	1	2	0	3	0	4	15	0	22	0	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Helicobacter F;s_Helicobacter F sp002287135
s_Unclassified_g_Sphingobacterium	0	0	11	17	2	12	10	0	6	0	0	51	0	26	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Sphingobacteriales;f_Sphingobacteriaceae;g_Sphingobacterium;s_Unclassified_g_Sphingobacterium
s_JN-1 sp003718715	0	0	0	0	0	0	0	0	0	0	2	132	0	0	1	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_JN-1;s_JN-1 sp003718715
s_Unclassified_f_Caminicellaceae	0	0	2	0	1	0	0	94	0	0	12	1	20	2	2	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Caminicellaceae;g_Unclassified_f_Caminicellaceae;s_Unclassified_f_Caminicellaceae
s_Kaistella sp002415135	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Kaistella;s_Kaistella sp002415135
s_LNNU-3342 sp008711135	3	0	0	0	0	0	0	0	0	2	0	116	1	0	12	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_LNNU-3342;s_LNNU-3342 sp008711135
s_Variovorax sp019207085	0	0	0	0	0	0	0	0	0	0	0	131	0	0	3	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Variovorax;s_Variovorax sp019207085
s_Unclassified_g_Massilia	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Massilia;s_Unclassified_g_Massilia
s_Unclassified_g_GCA-2748155	9	0	0	0	0	0	0	0	0	2	0	25	0	0	97	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_GCA-2748155;s_Unclassified_g_GCA-2748155
s_Corynebacterium sp014490555	6	10	0	0	0	0	1	2	1	7	0	0	0	0	106	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium sp014490555
s_Streptomyces phaeochromogenes	0	2	0	0	1	0	0	0	0	0	0	2	0	0	128	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptomycetales;f_Streptomycetaceae;g_Streptomyces;s_Streptomyces phaeochromogenes
s_Unclassified_g_Ancylobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Xanthobacteraceae;g_Ancylobacter;s_Unclassified_g_Ancylobacter
s_Allorhizobium sp900465755	0	0	0	0	0	0	0	0	0	0	0	14	0	0	119	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Allorhizobium;s_Allorhizobium sp900465755
s_Enterococcus B sp002140175	4	0	0	0	0	0	0	9	0	0	5	1	14	0	100	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus B;s_Enterococcus B sp002140175
s_Dietzia cercidiphylli	37	0	1	0	0	0	0	15	3	22	4	11	6	0	34	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Dietzia;s_Dietzia cercidiphylli
s_Gleimia urinae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Gleimia;s_Gleimia urinae
s_Dietzia timorensis	23	2	3	0	8	0	2	0	0	72	0	4	1	0	18	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Dietzia;s_Dietzia timorensis
s_Pseudomonas E nabeulensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas E;s_Pseudomonas E nabeulensis
s_Unclassified_f_PJMF01	4	11	16	12	5	20	16	0	5	9	0	0	0	35	0	d_Bacteria;p_Patescibacteria;c_Microgenomatia;o_UBA1400;f_PJMF01;g_Unclassified_f_PJMF01;s_Unclassified_f_PJMF01
s_Pseudocitrobacter sp008369545	0	0	0	0	0	0	0	1	0	0	126	0	3	0	3	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Pseudocitrobacter;s_Pseudocitrobacter sp008369545
s_Mesorhizobium sangaii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Mesorhizobium;s_Mesorhizobium sangaii
s_Haemophilus D parainfluenzae O	10	10	8	6	8	7	14	3	5	12	32	9	5	1	2	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Pasteurellaceae;g_Haemophilus D;s_Haemophilus D parainfluenzae O
s_Comamonas sp018384835	0	0	0	0	0	0	0	0	0	0	0	100	6	0	26	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Comamonas;s_Comamonas sp018384835
s_Desulfobotulus alkaliphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	d_Bacteria;p_Desulfobacterota;c_Desulfobacteria;o_Desulfobacterales;f_Desulforegulaceae;g_Desulfobotulus;s_Desulfobotulus alkaliphilus
s_Rhizorhabdus crocodyli	0	0	0	16	0	8	0	0	3	0	0	92	0	0	13	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae;g_Rhizorhabdus;s_Rhizorhabdus crocodyli
s_Citricoccus sp000224415	3	0	0	0	0	0	0	0	0	38	1	3	0	0	87	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Citricoccus;s_Citricoccus sp000224415
s_Asanoa ferruginea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Micromonosporaceae;g_Asanoa;s_Asanoa ferruginea
s_Clostridium sp012519845	0	0	1	0	0	0	4	6	0	0	100	5	7	0	9	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp012519845
s_Kaistella koreensis	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae;g_Kaistella;s_Kaistella koreensis
s_Serinicoccus profundi	3	0	0	0	0	0	0	0	0	1	0	0	0	0	128	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_Serinicoccus;s_Serinicoccus profundi
s_Unclassified_g_Vibrio	0	0	1	2	2	0	27	0	10	0	50	22	6	1	10	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Vibrionaceae;g_Vibrio;s_Unclassified_g_Vibrio
s_Campylobacter A curvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Campylobacteraceae;g_Campylobacter A;s_Campylobacter A curvus
s_Brevundimonas diminuta	0	0	0	0	0	0	0	0	0	0	0	72	0	0	59	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae;g_Brevundimonas;s_Brevundimonas diminuta
s_Im94 sp009749525	2	0	0	0	0	0	0	0	0	0	0	37	0	0	92	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Im94;s_Im94 sp009749525
s_Enterobacter vonholyi	0	0	0	0	0	0	0	0	0	0	96	4	31	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Enterobacter;s_Enterobacter vonholyi
s_Flaviflexus sp003971195	4	0	0	0	0	0	0	0	0	1	0	9	0	0	117	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Flaviflexus;s_Flaviflexus sp003971195
s_Ochrobactrum oryzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales A;f_Rhizobiaceae A;g_Ochrobactrum;s_Ochrobactrum oryzae
s_Clostridium sp900543325	3	0	0	0	0	0	0	4	0	0	0	0	2	0	121	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp900543325
s_Clostridium sp900769625	3	0	0	0	0	0	0	62	0	0	2	1	9	0	53	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Clostridium;s_Clostridium sp900769625
s_Agromyces sp006715355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Agromyces;s_Agromyces sp006715355
s_Devosia ginsengisoli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Devosiaceae;g_Devosia;s_Devosia ginsengisoli
s_Unclassified_g_Bordetella A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Bordetella A;s_Unclassified_g_Bordetella A
s_Breoghania corrubedonensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Stappiaceae;g_Breoghania;s_Breoghania corrubedonensis
s_CAG-83 sp004557655	0	0	0	0	0	0	0	1	0	0	99	4	24	0	2	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae;g_CAG-83;s_CAG-83 sp004557655
s_Ramlibacter soli	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Ramlibacter;s_Ramlibacter soli
s_Solibacillus cecembensis	0	0	15	17	10	28	14	0	9	0	0	0	2	34	0	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A;f_Planococcaceae;g_Solibacillus;s_Solibacillus cecembensis
s_JAEUSO01 sp016788605	0	0	19	24	4	19	13	0	16	0	4	2	0	28	0	d_Bacteria;p_Bacteroidota;c_Kapabacteria;o_Kapabacteriales;f_NICIL-2;g_JAEUSO01;s_JAEUSO01 sp016788605
s_Pauljensenia sp015655375	5	2	0	0	0	0	0	0	0	1	2	8	9	0	102	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Actinomycetaceae;g_Pauljensenia;s_Pauljensenia sp015655375
s_Facklamia A tabacinasalis	0	0	0	0	0	0	0	0	0	0	0	0	3	0	126	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Aerococcaceae;g_Facklamia A;s_Facklamia A tabacinasalis
s_Microbacterium sp001878835	20	1	0	0	0	0	0	1	5	5	0	7	1	0	89	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Microbacterium;s_Microbacterium sp001878835
s_Citrobacter sp018342065	0	0	0	0	0	0	0	0	1	0	115	2	11	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Citrobacter;s_Citrobacter sp018342065
s_Rhodoferax sp017997975	0	0	0	0	0	0	0	0	0	0	0	120	0	0	9	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Burkholderiaceae;g_Rhodoferax;s_Rhodoferax sp017997975
s_Proteocatella sphenisci	0	0	0	0	0	0	0	0	0	0	0	1	0	0	127	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Filifactoraceae;g_Proteocatella;s_Proteocatella sphenisci
s_Occultella glacieicola	6	0	0	0	0	0	0	1	0	0	0	12	0	0	109	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Beutenbergiaceae;g_Occultella;s_Occultella glacieicola
s_Psychrobacter sp014119005	4	0	2	0	0	0	0	17	0	1	8	7	8	0	81	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Psychrobacter;s_Psychrobacter sp014119005
s_Unclassified_g_PHBI01	2	1	22	12	9	22	2	0	5	3	2	0	0	48	0	d_Bacteria;p_Myxococcota;c_UBA9042;o_PHBI01;f_PHBI01;g_PHBI01;s_Unclassified_g_PHBI01
s_Parasedimentitalea sp011813015	8	20	32	12	7	3	10	1	10	14	0	0	0	9	2	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodobacterales;f_Rhodobacteraceae;g_Parasedimentitalea;s_Parasedimentitalea sp011813015
