KEGG_KO	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
K01918	392.8187	158.0906	6.1269	0.0000	430.4479	0.0000	21.4293	112.5594	235.4628	497.0808	367.7467	282.3873	219.1485	255.4991	229.4122	panC; pantoate--beta-alanine ligase [EC:6.3.2.1]
K01919	45.7813	0.0000	5.8597	0.0000	2.8243	2.3741	3.9200	186.9039	3.7371	61.7104	309.8870	387.0627	167.4816	8.3729	229.3320	gshA; glutamate--cysteine ligase [EC:6.3.2.2]
K01920	44.6500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	14.9924	0.0000	7.0816	0.0000	318.3301	15.9509	0.0000	259.4448	gshB; glutathione synthase [EC:6.3.2.3]
K01921	263.5233	105.9113	74.7801	0.0000	405.9766	18.0451	22.8737	737.7910	28.9507	182.0551	806.3822	425.3067	729.9254	250.4774	730.7491	ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]
K01922	0.0000	0.0000	29.3094	0.0000	0.0000	0.0000	0.0000	2.7877	0.0000	0.0000	0.0000	0.0000	267.2954	28.4242	0.0000	PPCS, COAB; phosphopantothenate---cysteine ligase (ATP) [EC:6.3.2.51]
K01923	458.4179	78.2823	41.7280	0.0000	243.1189	5.1689	85.5621	176.1138	238.0978	351.9776	318.2097	413.1226	254.2116	166.1480	469.2801	purC; phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]
K01924	253.3513	55.9017	22.5549	0.0000	10.1269	0.0000	84.1029	321.7964	54.5131	125.2628	527.4621	415.3214	369.8669	18.1160	430.0295	murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]
K01925	274.5142	99.1428	45.1495	4.5786	374.3349	6.7960	26.9378	178.2199	19.6475	264.8045	132.1452	362.5751	380.6921	199.8933	379.7673	murD; UDP-N-acetylmuramoylalanine--D-glutamate ligase [EC:6.3.2.9]
K01928	190.3890	60.5945	36.5793	0.0000	592.8318	10.6231	60.3401	253.0722	27.5512	590.6293	443.0114	502.3034	435.4524	225.8944	376.4748	murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]
K01929	199.8777	40.8883	36.2980	0.0000	383.1995	0.0000	47.7321	260.0320	37.5213	164.1555	711.5452	375.2607	567.9467	221.7913	370.7194	murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]
K01933	444.7578	148.3606	5.0435	5.5786	520.7885	4.0472	35.1171	1315.9114	63.8561	292.6928	391.2117	451.1716	730.7346	261.8758	317.9303	purM; phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.3.1]
K01934	336.9662	133.1173	0.0000	0.0000	37.9258	0.0000	9.5156	134.5809	124.2700	210.9746	395.1419	285.5424	150.0767	113.1446	414.7980	MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]
K01935	198.9361	97.5472	14.0197	0.0000	6.5503	7.4536	37.3820	555.7101	122.1363	244.3787	282.4548	131.5687	301.5740	0.0000	177.8146	bioD; dethiobiotin synthetase [EC:6.3.3.3]
K01937	356.3816	67.5081	102.6741	3.4015	454.6859	5.8209	52.9563	361.1509	60.4846	313.1198	238.8968	431.3708	779.4905	123.4327	233.8042	pyrG, CTPS; CTP synthase [EC:6.3.4.2]
K01938	173.5218	92.3117	72.6853	0.0000	16.1785	5.7157	28.9439	164.2396	36.3434	192.7956	204.8756	93.9469	339.6388	23.5180	204.2696	fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3]
K01939	825.9360	1346.6639	202.2002	0.0000	1360.6721	55.0906	838.0741	774.0736	380.8698	1683.7964	467.9533	773.8412	458.4767	402.8580	411.4823	purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]
K01940	473.7315	150.0998	16.7588	9.1346	523.0418	3.9366	88.3485	230.6093	225.1067	225.4455	421.8308	331.5205	199.2633	267.5922	313.7263	argG, ASS1; argininosuccinate synthase [EC:6.3.4.5]
K01945	623.1597	211.9231	8.0777	4.3718	207.2016	0.0000	36.4302	967.4429	195.5862	513.4040	804.7017	450.6495	858.5474	174.5476	506.6302	purD; phosphoribosylamine---glycine ligase [EC:6.3.4.13]
K01950	208.1038	29.8023	10.5895	0.0000	0.0000	0.0000	48.3328	440.9353	113.5504	30.9941	225.9113	192.6301	499.3291	4.9546	36.3114	E6.3.5.1, NADSYN1, QNS1, nadE; NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]
K01951	450.7536	169.3109	71.6071	0.0000	606.7259	3.0740	144.9204	1099.9255	223.4149	589.5543	556.5596	486.1274	1008.2227	269.2568	580.6553	guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
K01952	781.2147	487.3732	8.9915	5.0066	1045.3782	2.1576	138.2067	370.2265	553.2127	859.6618	8.6333	541.4950	424.7238	211.0879	849.6291	purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]
K01953	154.6916	122.6114	315.8577	89.4693	79.8827	396.6409	205.9191	145.0926	162.5854	280.0417	74.9167	312.8103	373.6804	209.3215	256.5581	asnB, ASNS; asparagine synthase (glutamine-hydrolysing) [EC:6.3.5.4]
K01955	110.7530	2.9666	32.8780	0.0000	457.8182	0.0000	71.8461	510.0814	0.8850	51.4379	278.5042	252.3423	419.0272	216.2072	229.5806	carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]
K01956	333.6031	165.3187	23.1863	0.0000	484.3076	4.2535	67.9432	1128.9191	20.7012	271.8795	730.4641	424.9296	953.9392	180.1281	392.9756	carA, CPA1; carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]
K01958	186.1608	8.9942	36.3204	184.3641	17.5430	107.5887	99.0800	27.1206	28.8728	22.6328	0.9622	22.1060	35.0010	123.2825	95.7164	PC, pyc; pyruvate carboxylase [EC:6.4.1.1]
K01959	11.3124	0.0000	3.5453	3.8745	513.4572	0.0000	4.2833	2.6976	0.0000	0.0000	0.3322	22.5603	6.4010	226.9249	14.9782	pycA; pyruvate carboxylase subunit A [EC:6.4.1.1]
K01960	11.1701	5.9092	14.6419	0.0000	536.6594	0.0000	10.6139	4.4564	1.7121	1.9533	0.8231	19.2893	5.0096	272.6353	10.0014	pycB; pyruvate carboxylase subunit B [EC:6.4.1.1]
K01961	137.7461	7.5687	18.7539	4.0990	774.5493	6.9591	84.3170	867.8483	5.8575	29.4960	467.7673	600.9939	409.8518	294.6214	199.8441	accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]
K01962	99.1094	31.0871	21.7375	0.0000	635.9552	8.2661	150.4786	575.9459	15.6760	213.9576	610.2776	448.5189	356.6269	261.5557	322.4916	accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15]
K01963	106.9216	20.1211	28.8094	0.0000	455.2304	3.1472	58.8162	674.9449	28.7284	130.9016	339.5334	478.0447	400.2918	117.4256	301.3329	accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]
K01965	39.1325	20.1914	28.2041	0.0000	0.0000	0.0000	6.3869	0.0000	0.0000	0.0000	0.0000	170.2434	18.4602	149.0110	71.9542	PCCA, pccA; propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]
K01966	353.1452	71.8850	177.2769	244.6081	34.0142	281.1087	120.1868	15.0479	160.6700	111.2401	5.6575	265.8779	83.5523	129.5987	237.5834	PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]
K01968	58.6306	5.2757	335.4788	0.0000	99.1997	0.0000	399.9658	3.8242	22.4422	7.2000	0.0000	282.4292	42.8130	273.5238	85.4503	E6.4.1.4A; 3-methylcrotonyl-CoA carboxylase alpha subunit [EC:6.4.1.4]
K01969	102.6935	25.4051	130.2850	35.5953	5.6486	184.0808	239.9115	15.9840	16.5546	94.6751	1.4734	271.9819	39.5026	0.0000	190.8683	E6.4.1.4B; 3-methylcrotonyl-CoA carboxylase beta subunit [EC:6.4.1.4]
K01971	120.3376	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.0847	0.0000	1.4908	0.0000	208.6728	2.8536	0.0000	62.2732	ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]
K01972	280.1628	178.8854	80.5958	0.0000	557.0755	11.7931	64.4133	827.9547	77.1404	860.3795	1064.1675	512.9971	1051.4211	303.1355	399.4287	E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]
K01991	39.9168	0.0000	0.0000	0.0000	3.8907	0.0000	0.0000	32.1242	0.0000	0.0000	394.3091	263.8664	150.7048	0.0000	165.3210	ABC-2.OM, wza; polysaccharide biosynthesis/export protein
K01995	314.6436	13.1281	5.9959	0.0000	5.9541	0.0000	7.2440	18.0489	14.6949	36.4283	404.2379	1482.3842	200.4461	0.0000	844.8007	livG; branched-chain amino acid transport system ATP-binding protein
K01996	334.3509	25.8564	0.0000	0.0000	6.4382	0.0000	0.0000	36.2946	8.2969	59.3965	311.7844	1739.3292	171.5137	0.0000	1120.3280	livF; branched-chain amino acid transport system ATP-binding protein
K01997	365.4687	0.0000	0.0000	0.0000	4.4818	0.0000	0.0000	27.7712	6.1707	89.5797	354.5096	1692.1949	198.7667	0.0000	955.6819	livH; branched-chain amino acid transport system permease protein
K01998	119.8841	0.0000	0.0000	0.0000	13.6383	0.0000	0.0000	9.8307	10.8209	15.4249	378.9678	1576.4651	108.5491	0.0000	992.1344	livM; branched-chain amino acid transport system permease protein
K01999	311.1980	58.8285	0.0000	0.0000	10.5976	0.0000	0.0000	16.0732	12.5494	56.4437	868.7701	1899.7145	351.3148	0.0000	1466.8214	livK; branched-chain amino acid transport system substrate-binding protein
K02000	66.8659	53.2595	0.0000	0.0000	3.7547	0.0000	0.0000	1.8362	0.0000	26.1193	298.2608	219.8039	91.9777	0.0000	527.1286	proV; glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]
K02001	54.9914	0.0000	0.0000	0.0000	14.8485	0.0000	0.0000	0.0000	6.8471	10.6199	312.9706	200.5424	112.3645	0.0000	501.5693	proW; glycine betaine/proline transport system permease protein
K02002	101.4761	10.8608	0.0000	0.0000	0.0000	0.0000	0.0000	10.1507	0.0000	14.6502	434.9850	227.0856	262.7242	0.0000	631.3785	proX; glycine betaine/proline transport system substrate-binding protein
K02006	7.7901	24.7268	5.8909	0.0000	0.0000	0.0000	23.0044	544.6612	2.1219	8.5718	182.2702	26.3530	245.7148	0.0000	31.3193	cbiO; cobalt/nickel transport system ATP-binding protein
K02007	107.7443	0.0000	0.0000	0.0000	0.0000	0.0000	8.2093	186.9297	0.0000	163.8371	88.2818	3.0401	49.1668	0.0000	22.9900	cbiM; cobalt/nickel transport system permease protein
K02008	71.8530	13.9363	0.0000	0.0000	0.0000	0.0000	0.0000	547.7401	12.0805	187.8304	91.6123	2.3378	290.7771	0.0000	15.8885	cbiQ; cobalt/nickel transport system permease protein
K02009	41.2536	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	117.8285	0.0000	139.4570	106.8785	12.5172	48.5390	0.0000	23.0561	cbiN; cobalt/nickel transport protein
K02010	207.0826	83.9247	5.1202	0.0000	482.6932	4.8229	67.3605	336.2939	70.5577	87.0882	335.2870	488.3785	442.1199	213.7035	888.8977	afuC, fbpC; iron(III) transport system ATP-binding protein [EC:3.6.3.30]
K02011	60.6187	42.9530	15.8803	0.0000	494.2953	11.8820	21.8039	417.8868	17.3713	35.3298	139.4908	445.4500	264.1033	245.8432	761.5637	afuB, fbpB; iron(III) transport system permease protein
K02012	124.8756	9.8239	29.6377	0.0000	605.4134	0.0000	23.6809	1238.4341	29.3146	90.7028	397.3217	371.1251	873.5732	261.9279	969.1000	afuA, fbpA; iron(III) transport system substrate-binding protein
K02017	56.6341	10.2335	0.0000	0.0000	0.0000	0.0000	0.0000	41.3658	14.1170	41.0767	411.8665	314.6123	231.8641	0.0000	133.0501	modC; molybdate transport system ATP-binding protein [EC:3.6.3.29]
K02018	170.5485	15.6009	7.6959	0.0000	241.3328	5.2200	36.9403	215.6320	66.0333	91.0913	378.9596	293.4358	184.6060	81.2583	187.2773	modB; molybdate transport system permease protein
K02020	177.1042	120.2485	13.9270	7.6100	315.0538	0.0000	56.0501	238.9720	81.1584	269.8077	502.3575	332.8168	253.5480	195.8430	229.4867	modA; molybdate transport system substrate-binding protein
K02031	564.9170	315.9015	3.1125	0.0000	18.9237	2.7826	29.4930	951.3790	184.2591	563.2888	146.3870	788.7790	535.8173	5.1030	3066.2266	ABC.PE.A; peptide/nickel transport system ATP-binding protein
K02032	658.0183	311.3645	3.1125	0.0000	335.7912	2.7826	38.8393	776.7694	193.9010	537.5498	439.3481	827.7111	681.5651	58.9044	2554.1900	ABC.PE.A1; peptide/nickel transport system ATP-binding protein
K02033	799.5412	237.7297	32.0392	11.2943	263.5697	4.8674	69.2800	412.6995	143.3375	371.4078	206.5855	1023.4208	534.6245	200.3923	4037.8663	ABC.PE.P; peptide/nickel transport system permease protein
K02034	1216.9488	333.9622	17.5031	0.0000	434.1879	0.0000	55.6975	536.1836	170.7026	695.0316	229.3155	1108.3437	717.0676	204.5398	3686.0649	ABC.PE.P1; peptide/nickel transport system permease protein
K02035	988.9977	364.5630	24.5786	0.0000	825.2626	5.9438	31.0619	1310.6723	205.7365	697.8666	390.6601	1346.3683	671.0563	363.6266	4159.2107	ABC.PE.S; peptide/nickel transport system substrate-binding protein
K02036	972.1975	170.3623	111.1401	0.0000	81.3573	6.2736	111.4787	270.0718	193.3153	739.8384	391.0963	308.1225	663.1440	70.2629	453.1132	pstB; phosphate transport system ATP-binding protein [EC:3.6.3.27]
K02037	318.7126	136.5176	21.1962	0.0000	65.0210	8.7468	37.8654	586.2883	166.1002	2061.2021	581.6444	873.8775	624.4278	31.2882	448.4871	pstC; phosphate transport system permease protein
K02038	496.4917	195.7149	57.7874	6.6957	32.3663	0.0000	142.3802	1629.7584	143.5859	400.5532	748.3252	460.3041	1161.6337	45.4404	445.3976	pstA; phosphate transport system permease protein
K02040	476.6065	91.5300	6.1718	0.0000	10.8751	0.0000	88.1864	856.5161	31.4614	347.1936	1282.3026	373.8994	1194.4453	14.7307	442.0415	pstS; phosphate transport system substrate-binding protein
K02041	32.7858	53.5476	6.4068	0.0000	0.0000	0.0000	7.9836	122.6259	7.7572	128.0004	112.5041	220.4080	266.9245	6.5368	407.2658	phnC; phosphonate transport system ATP-binding protein [EC:3.6.3.28]
K02042	25.7316	24.1123	0.0000	0.0000	0.0000	0.0000	0.0000	212.0028	3.7890	45.7168	132.9895	220.3281	181.6012	18.1332	547.4754	phnE; phosphonate transport system permease protein
K02044	35.2327	44.2932	5.6725	0.0000	0.0000	0.0000	39.5215	300.2631	15.6559	714.6088	181.7386	510.9707	216.7045	0.0000	298.7180	phnD; phosphonate transport system substrate-binding protein
K02045	25.2452	13.2304	0.0000	0.0000	344.3695	6.1759	7.9214	7.0035	5.3813	20.9299	355.7295	306.0778	140.3379	0.0000	186.9720	cysA; sulfate transport system ATP-binding protein [EC:3.6.3.25]
K02046	48.5673	0.0000	0.0000	0.0000	5.4180	0.0000	0.0000	2.3058	3.5434	33.8567	293.5743	271.0689	89.3366	0.0000	274.9605	cysU; sulfate transport system permease protein
K02047	28.9029	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	4.3902	6.7466	27.7141	346.5154	276.8440	212.2318	0.0000	244.5212	cysW; sulfate transport system permease protein
K02048	31.7213	0.0000	0.0000	0.0000	0.0000	0.0000	18.2802	18.8747	0.0000	14.2093	718.9601	378.3089	221.5958	0.0000	274.3858	cysP, sbp; sulfate transport system substrate-binding protein
K02052	78.9907	9.2361	0.0000	0.0000	0.0000	0.0000	0.0000	118.0888	0.0000	9.7776	406.7469	235.0519	290.0219	9.6665	921.0724	ABC.SP.A; putative spermidine/putrescine transport system ATP-binding protein
K02053	98.0130	33.7887	0.0000	0.0000	4.6480	5.7502	0.0000	282.3274	0.0000	28.2843	325.3556	201.0484	176.7454	6.5631	742.5424	ABC.SP.P; putative spermidine/putrescine transport system permease protein
K02054	62.9763	0.0000	12.1652	0.0000	0.0000	0.0000	0.0000	302.2263	10.5098	26.6446	409.2962	266.0034	429.5336	0.0000	729.8364	ABC.SP.P1; putative spermidine/putrescine transport system permease protein
K02055	93.0327	43.4847	27.9422	8.4105	0.0000	21.7474	0.0000	267.3315	18.5743	65.2140	295.4719	362.8520	221.6592	11.6734	1126.2532	ABC.SP.S; putative spermidine/putrescine transport system substrate-binding protein
K02062	57.7386	24.0270	0.0000	0.0000	11.2596	0.0000	9.2137	5.8028	6.9614	51.2286	9.0997	26.7713	35.8517	0.0000	306.6079	thiQ; thiamine transport system ATP-binding protein
K02063	46.5731	5.9402	0.0000	0.0000	0.0000	0.0000	3.5565	90.7692	3.4421	32.9479	363.4251	23.7517	156.1874	0.0000	291.9662	thiP; thiamine transport system permease protein
K02064	74.3228	27.4165	0.0000	0.0000	8.5558	0.0000	12.2234	27.9522	2.7977	42.8546	7.5144	30.1820	76.6606	0.0000	243.4396	thiB, tbpA; thiamine transport system substrate-binding protein
K02065	79.7781	0.0000	6.6603	0.0000	369.1515	6.2736	0.0000	26.0955	0.0000	0.0000	265.3766	571.1598	70.6440	193.7761	226.3265	mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein
K02066	103.5309	29.0516	35.1523	0.0000	626.3532	0.0000	52.0358	31.2335	7.8780	13.5483	283.6922	659.8072	44.7305	200.1248	192.9469	mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein
K02067	69.8134	12.4541	30.2699	6.7697	650.1742	11.6269	14.9132	4.6961	0.0000	8.1436	31.2647	699.8042	32.2399	90.0237	235.2644	mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein
K02071	288.4380	124.9503	17.8942	0.0000	265.8772	0.0000	43.3759	132.3074	77.0153	178.4540	11.8725	247.0073	122.3099	80.5745	412.6882	metN; D-methionine transport system ATP-binding protein
K02072	348.9917	129.0429	37.0647	7.1653	305.0495	0.0000	72.2253	336.2834	210.5756	267.5571	417.5145	263.7764	390.0296	51.1227	487.1183	metI; D-methionine transport system permease protein
K02073	322.7765	116.4751	24.6338	18.6008	529.4613	16.3604	60.3661	329.2289	183.7646	503.8656	709.5355	268.7216	469.6735	336.3463	595.8118	metQ; D-methionine transport system substrate-binding protein
K02078	501.6402	165.3314	12.4043	0.0000	404.7498	0.0000	25.2045	586.3832	252.7026	265.8518	264.6497	497.6892	605.0200	0.0000	395.3347	acpP; acyl carrier protein
K02079	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	6.6917	0.0000	0.0000	129.4209	5.1065	90.4600	0.0000	0.1089	agaA; N-acetylgalactosamine-6-phosphate deacetylase [EC:3.5.1.25]
K02082	44.9269	9.1367	8.6153	0.0000	4.0046	0.0000	36.6853	175.9630	13.1267	22.1715	489.4269	22.4758	165.9188	8.5219	57.6336	agaS; tagatose-6-phosphate ketose/aldose isomerase [EC:5.-.-.-]
K02083	0.0000	0.0000	0.0000	0.0000	0.0000	3.8599	0.0000	77.9472	0.0000	0.0000	310.2358	2.8838	80.6848	3.9741	79.1255	allC; allantoate deiminase [EC:3.5.3.9]
K02084	0.0000	0.0000	37.9590	41.4832	33.9336	89.3876	137.5822	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	55.2189	0.0000	APAF1; apoptotic protease-activating factor
K02085	1.8147	19.1998	2.9249	3.2735	4.4420	3.8505	19.4147	0.3620	9.5804	61.8995	0.0000	0.0000	0.0000	5.8783	0.0232	APC; adenomatosis polyposis coli protein
K02106	9.1115	21.6908	3.6531	0.0000	6.5314	0.0000	0.0000	77.9287	0.0000	17.5452	231.8286	52.3360	88.0800	0.0000	95.7294	atoE; short-chain fatty acids transporter
K02108	384.3702	38.5967	29.2801	0.0000	525.9226	5.8781	169.2059	683.0291	178.4770	3037.0365	164.8787	1015.2703	524.3658	258.0478	286.0042	ATPF0A, atpB; F-type H+-transporting ATPase subunit a
K02109	381.5542	105.2332	0.0000	0.0000	779.0176	10.8820	51.9105	218.2511	122.7563	122.3536	29.2244	446.8409	165.0768	82.4154	438.6816	ATPF0B, atpF; F-type H+-transporting ATPase subunit b
K02110	561.5913	186.0874	56.5925	0.0000	639.3671	0.0000	122.2803	97.9596	160.7688	247.8209	30.4237	331.6615	585.9180	302.3395	313.1686	ATPF0C, atpE; F-type H+-transporting ATPase subunit c
K02111	334.8460	93.6523	87.3915	0.0000	64.4707	6.3321	193.0794	523.6139	41.9404	1124.6980	465.0636	615.8327	553.6583	55.0663	290.5398	ATPF1A, atpA; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]
K02112	493.0614	77.2186	86.1030	0.0000	452.8063	6.6736	183.8292	714.2214	100.3867	1289.8597	438.7127	615.3896	718.6168	275.7482	218.0675	ATPF1B, atpD; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
K02113	430.3742	113.5087	83.1180	0.0000	353.0417	55.7798	156.5955	570.2868	211.5254	1473.8876	169.0610	699.8579	698.4886	81.2012	460.0543	ATPF1D, atpH; F-type H+-transporting ATPase subunit delta
K02114	469.2226	246.2569	61.4188	0.0000	473.8135	0.0000	169.8717	837.9926	71.5295	929.1791	350.3319	569.5853	761.0207	133.1983	383.2508	ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon
K02115	347.3448	87.6286	33.6944	0.0000	417.5910	5.2897	127.6989	498.0413	108.6785	1430.4318	96.0173	568.1911	435.8297	261.5127	317.1792	ATPF1G, atpG; F-type H+-transporting ATPase subunit gamma
K02117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.3090	493.5455	0.0000	0.0000	158.2930	3.5103	326.5871	8.2751	16.4987	ATPVA, ntpA, atpA; V/A-type H+/Na+-transporting ATPase subunit A [EC:3.6.3.14 3.6.3.15]
K02118	0.0000	0.0000	0.0000	0.0000	3.2657	0.0000	4.4135	146.0234	0.0000	0.0000	128.3529	1.6102	185.6961	0.0000	7.7047	ATPVB, ntpB, atpB; V/A-type H+/Na+-transporting ATPase subunit B
K02119	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4725	0.0000	0.0000	0.0000	6.1428	ATPVC, ntpC, atpC; V/A-type H+/Na+-transporting ATPase subunit C
K02120	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	29.8247	0.0000	0.0000	88.1390	1.3821	60.9450	0.0000	18.0503	ATPVD, ntpD, atpD; V/A-type H+/Na+-transporting ATPase subunit D
K02121	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	367.3846	0.0000	0.0000	82.5391	2.9869	202.6257	0.0000	6.7499	ATPVE, ntpE, atpE; V/A-type H+/Na+-transporting ATPase subunit E
K02122	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	273.7084	0.0000	0.0000	35.8117	0.0000	162.2763	0.0000	13.5034	ATPVF, ntpF, atpF; V/A-type H+/Na+-transporting ATPase subunit F
K02123	0.0000	0.0000	5.1806	0.0000	0.0000	0.0000	0.0000	66.0716	0.0000	0.0000	172.6762	5.7133	99.1973	0.0000	7.3458	ATPVI, ntpI, atpI; V/A-type H+/Na+-transporting ATPase subunit I
K02124	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.8725	0.9009	0.0000	0.0000	11.0172	ATPVK, ntpK, atpK; V/A-type H+/Na+-transporting ATPase subunit K
K02126	0.0000	0.0000	0.0000	8.1136	6.6370	0.0000	0.0000	0.0000	0.0000	0.0000	76.5167	0.0000	0.0000	0.0000	0.0000	ATPeF0A, MTATP6, ATP6; F-type H+-transporting ATPase subunit a
K02132	0.0000	0.0000	744.1026	274.3154	111.1241	670.6184	511.7957	0.0000	78.9187	0.0000	0.0000	0.0000	0.0000	166.5282	0.0000	ATPeF1A, ATP5A1, ATP1; F-type H+-transporting ATPase subunit alpha
K02133	10.1247	0.0000	706.2333	593.4976	54.3424	561.9366	222.4527	0.0000	137.9965	0.0000	0.0000	0.0000	0.0000	293.0645	0.0000	ATPeF1B, ATP5B, ATP2; F-type H+-transporting ATPase subunit beta [EC:3.6.3.14]
K02147	0.0000	311.0665	0.0000	0.0000	68.9034	0.0000	46.5609	0.0000	22.5315	0.0000	3.6108	0.0000	0.0000	0.0000	0.0000	ATPeV1B, ATP6B; V-type H+-transporting ATPase subunit B
K02155	14.9281	94.7668	0.0000	0.0000	230.9066	22.1182	28.3697	17.8671	125.0689	0.0000	0.0000	0.0000	0.0000	45.5449	0.5737	ATPeV0C, ATP6L; V-type H+-transporting ATPase 16kDa proteolipid subunit
K02160	50.9093	0.0000	22.0460	0.0000	502.5588	20.9039	105.6042	330.0496	0.0000	31.5913	167.7456	405.2996	352.3215	202.3938	110.4856	accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein
K02169	38.5397	0.0000	0.0000	7.9729	423.9254	0.0000	8.8143	64.2618	3.9094	27.8813	90.6342	272.6694	131.6546	162.7308	59.5039	bioC; malonyl-CoA O-methyltransferase [EC:2.1.1.197]
K02170	7.7060	0.0000	0.0000	0.0000	0.0000	0.0000	46.9793	4.6116	0.0000	4.5865	189.8520	33.3880	168.5551	0.0000	51.4550	bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]
K02188	11.2714	0.0000	4.6021	0.0000	0.0000	0.0000	5.5601	187.4391	0.0000	3.1006	129.9261	4.0180	125.9384	17.4238	15.2612	cbiD; cobalt-precorrin-5B (C1)-methyltransferase [EC:2.1.1.195]
K02189	2.9663	0.0000	10.0721	0.0000	0.0000	0.0000	17.4490	232.4962	0.0000	0.0000	125.8186	6.4076	78.5939	4.5503	39.0853	cbiG; cobalt-precorrin 5A hydrolase [EC:3.7.1.12]
K02190	45.8676	0.0000	0.0000	0.0000	10.7201	0.0000	6.6516	716.1465	0.0000	0.0000	125.2075	0.5286	285.6829	0.0000	30.4756	cbiK; sirohydrochlorin cobaltochelatase [EC:4.99.1.3]
K02191	5.6111	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	86.4078	0.0000	0.0000	40.0732	0.0000	20.3651	0.0000	7.1028	cbiT; cobalt-precorrin-6B (C15)-methyltransferase [EC:2.1.1.196]
K02193	40.0592	0.0000	0.0000	0.0000	14.5586	0.0000	37.1919	6.0013	0.0000	5.7238	160.7568	149.3742	32.8406	7.4635	201.8561	ccmA; heme exporter protein A [EC:3.6.3.41]
K02194	19.1200	0.0000	7.5918	0.0000	0.0000	0.0000	0.0000	0.0000	4.4586	5.3835	256.5128	142.2247	40.5830	0.0000	192.0434	ccmB; heme exporter protein B
K02195	25.4388	0.0000	0.0000	0.0000	11.8390	0.0000	0.0000	12.3932	0.0000	4.6225	243.2452	152.9467	52.8195	0.0000	146.3754	ccmC; heme exporter protein C
K02196	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	72.3589	62.7322	14.4456	0.0000	102.2929	ccmD; heme exporter protein D
K02203	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	9.3771	0.0000	0.0000	4.7977	thrH; phosphoserine / homoserine phosphotransferase [EC:3.1.3.3 2.7.1.39]
K02204	16.7972	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.6927	200.5713	0.0000	0.0000	131.6385	thrB2; homoserine kinase type II [EC:2.7.1.39]
